feature,importance
text_length,0.1241610869432961
avg_comment_length,0.0715895154665821
score,0.07093344563994489
comment_activity_duration_hours,0.06938427079485655
avg_comment_karma,0.06764304132137963
comments_per_commenter,0.06472140271029286
std_comment_karma,0.06460500607291654
total_comment_karma,0.060162521980616265
pct_positive_karma,0.056492856683690404
pct_zero_karma,0.05563580642882324
num_comments,0.053842071495831624
unique_commenters,0.053439240848816315
karma_range,0.05304442629356632
hour_of_day,0.048979464591792705
karma_iqr,0.032014368004723064
num_tags,0.03158604138270155
median_comment_karma,0.012585215092467527
is_weekend,0.008921681854502234
pct_negative_karma,0.00025853639319997976
