bias_category,n_users,avg_bias_rate,avg_articles,avg_outlets
low_bias,1255,0.2815897415928756,27.691633466135457,11.976892430278884
mixed,4878,0.5272051036944899,73.01947519475195,33.53341533415334
high_bias,6601,0.6892914848028369,83.11710346917134,37.63566126344493
very_high_bias,1815,0.8902727362074868,29.198347107438018,11.954820936639118
