outlet,n_articles,kl_divergence,mean_entropy,mean_bimodality,mean_neg_frac,bias_rate
danielmarin.naukas.com,30,0.405820004282634,2.080977492941872,0.7694776283621112,0.0,0.5666666666666667
escolar.net,33,0.2582222817716417,2.4963614883724135,0.7111287103167974,0.0,0.7878787878787878
labrujulaverde.com,35,0.2282991033235574,2.146695156826975,0.8069035545384962,0.0,0.8
elplural.com,102,0.21522754939771965,2.7066336139235316,0.806256350927927,0.0,0.7843137254901961
xataka.com,96,0.20818568644096053,2.265842875624727,0.8017358076965359,0.00023674242424242425,0.3958333333333333
infolibre.es,33,0.20770942058519337,2.6120967243040516,0.8157580724691398,0.0006379585326953748,0.5757575757575758
lasexta.com,79,0.19538401785969856,2.7066766814140064,0.808370241324248,0.0006614369762881085,0.7721518987341772
elboletin.com,74,0.1910296877919152,2.609195179734188,0.8360688093082029,0.0,0.527027027027027
lavozdegalicia.es,91,0.1806413593679962,2.515617182416171,0.7994234917116052,0.0005653686972368292,0.7032967032967034
microsiervos.com,52,0.17922256683650076,2.1059027968537594,0.7420501230531737,0.0,0.40384615384615385
lasprovincias.es,33,0.16422011411873358,2.6121656905355457,0.8174029917115229,0.0,0.7272727272727273
infobae.com,31,0.16111871497030394,2.2486907790509716,0.7431444133860098,0.0,0.8064516129032258
elmundotoday.com,52,0.15853016299463935,2.2728214860748683,0.8177083743682615,0.0,0.7692307692307693
noticias.lainformacion.com,111,0.15228600536731265,2.6606725902544386,0.8265936003452575,0.0,0.5945945945945946
marca.com,34,0.14217885302098557,2.312284572458823,0.7824622138190271,0.0,0.5
elsaltodiario.com,34,0.1407481191908363,2.56984216125273,0.7861824365875678,0.0,0.5
ecodiario.eleconomista.es,84,0.13801259095682045,2.603395758730142,0.8294041755607049,0.0,0.5357142857142857
hipertextual.com,36,0.1367836718305392,2.3488433311815875,0.8008963321074497,0.0,0.3611111111111111
levante-emv.com,70,0.12017839026749315,2.5888465363068347,0.8086786417530399,0.0,0.7285714285714285
adn.es,76,0.1133906372808056,2.229663392827677,0.8054700248616536,0.0,0.618421052631579
actualidad.terra.es,30,0.11184358812391514,2.1720882839869167,0.7810731994029595,0.0,0.5333333333333333
magnet.xataka.com,44,0.09921518225768648,2.397509617869173,0.7929400893279547,0.0,0.7045454545454546
bbc.co.uk,48,0.09350558969159231,2.5271375293557914,0.8370506126103435,0.0,0.6041666666666666
huffingtonpost.es,46,0.09130769223626757,2.6537965946906614,0.8211439757000953,0.0,0.8695652173913043
politica.elpais.com,37,0.08958985620225303,2.3876486683209603,0.8521490369903986,0.0,0.7297297297297297
theguardian.com,35,0.08829768657698994,2.5983766816256972,0.8000982236917841,0.0,0.5428571428571428
jotdown.es,61,0.08676628449289002,2.3950105824209174,0.7997838453955388,0.0,0.8852459016393442
lavanguardia.com,93,0.08565358569887732,2.6231604479788615,0.8117695893660263,0.0010080645161290322,0.5591397849462365
elespanol.com,132,0.08517910636221711,2.561505900118756,0.8062133322642018,0.0,0.7196969696969697
adslzone.net,30,0.0829383154707906,2.146009487898364,0.7802678434059994,0.0,0.13333333333333333
genbeta.com,64,0.07277019952906866,2.1715030114035088,0.7274189197079717,0.0,0.25
larazon.es,47,0.07153911734796993,2.5631160461652684,0.7807679784485736,0.0,0.6170212765957447
publico.es,394,0.07112306062983295,2.623614930694342,0.817415275084357,0.00016330876867811487,0.682741116751269
es.noticias.yahoo.com,56,0.06963903559158696,2.3962180784771436,0.790630887820339,0.0,0.5535714285714286
eldiario.es,495,0.0685865455070918,2.598047138982511,0.8179871018491401,1.1413570735604635e-05,0.6444444444444445
vozpopuli.com,170,0.062240603256692825,2.522919119556452,0.8242593755434173,0.00015082956259426848,0.5882352941176471
news.bbc.co.uk,31,0.06210382071143287,2.1291524409573004,0.7608714472995932,0.0,0.6129032258064516
alt1040.com,41,0.06152848668992495,2.4252229258998246,0.781887335718456,0.0,0.4878048780487805
bbc.com,82,0.060438457063424156,2.4863307734831914,0.7950825161842608,0.00020496003279360525,0.5975609756097561
lainformacion.com,79,0.05946783151519176,2.4250579472790212,0.8195808960877251,0.0,0.35443037974683544
blogs.publico.es,60,0.05900494613566982,2.6590786804168838,0.7994084031332033,0.0,0.85
cincodias.com,30,0.058392026705750125,2.3624616312844537,0.7943987591543231,0.0,0.3
libertaddigital.com,35,0.04995906488317171,2.571452820150758,0.7711895010810482,0.0,0.6571428571428571
cadenaser.com,213,0.04933430929720898,2.566343697644315,0.8092765074284207,0.00020412329046744232,0.7276995305164319
blogs.20minutos.es,33,0.045938619584563405,2.4368140472923017,0.7844651037391479,0.0,0.7878787878787878
europapress.es,369,0.04488398837657942,2.5578749467163187,0.812688384334452,3.400072964298706e-05,0.5284552845528455
elmundo.es,430,0.043235425055427,2.488218223174055,0.7969746157438974,0.0,0.6372093023255814
es.gizmodo.com,92,0.038105524318048825,2.4488048420350603,0.8005867344139203,0.0,0.5543478260869565
elindependiente.com,49,0.03760842846715925,2.404769868775206,0.8051005748974333,0.0,0.7142857142857143
nytimes.com,38,0.03616158561225082,2.445260404402107,0.7887376516356784,0.0,0.4473684210526316
dailymail.co.uk,44,0.03418200491810079,2.5403815286925084,0.8293862529238435,0.0,0.7727272727272727
elconfidencial.com,352,0.03404740177571854,2.534507131081092,0.8088120643443424,0.000303661961330086,0.6534090909090909
abc.es,161,0.03355494426515257,2.503081688199615,0.8115009501178496,0.0,0.6583850931677019
lavanguardia.es,115,0.03257861009934817,2.427330732250107,0.8018866949837546,0.0,0.5826086956521739
elperiodico.com,103,0.028393050096582443,2.51431246376837,0.7940720267513343,0.0,0.5825242718446602
valenciaplaza.com,45,0.022878960282676764,2.439846643654106,0.8034568951591112,0.0,0.7777777777777778
elpais.com,411,0.02277368600172717,2.5184684441974166,0.7974056788885899,0.00016822817763062722,0.6034063260340633
eleconomista.es,91,0.022325864944289054,2.425035742998146,0.821640382767051,0.0,0.26373626373626374
rtve.es,86,0.01914761758607832,2.48919175922549,0.8026594168255005,0.0,0.5930232558139535
actualidad.rt.com,57,0.018741775501674027,2.488231838718763,0.8122265553719871,0.0,0.49122807017543857
expansion.com,41,0.018146713248372873,2.4272055267264894,0.8174464786585287,0.0,0.3170731707317073
20minutos.es,413,0.01566604075037303,2.4808647968964195,0.779413880226756,1.3679703424029767e-05,0.648910411622276
