article_id,bias_label,n_comments,mean_polarity,std_polarity,pct_positive,pct_negative,mean_anger,mean_joy,mean_fear
1133928253_esta-primera-noticia-meneada,1,1,0.23121164739131927,,1.0,0.0,0.004191927146166563,0.8094295859336853,0.007715701591223478
1133943563_los-84-errores-de-noxtrum,0,1,-0.13444020599126816,,0.0,0.0,0.0017939533572643995,0.0010817792499437928,0.0022459677420556545
1135236556_argentina-negroponte-y-la-computadora-de-300-pesos,0,1,-0.038519710302352905,,0.0,0.0,0.0036543626338243484,0.0023480653762817383,0.0003968960081692785
1135278284_volver-al-futuro-4,0,1,0.8986938893795013,,1.0,0.0,0.0002932308125309646,0.9642083644866943,0.0006843614391982555
1135551036_el-navegador-web-cumple-15-anos,0,1,-0.14989787992089987,,0.0,0.0,0.0004149839805904776,0.004339610692113638,0.003659195499494672
1136692987_la-pagina-principal-de-grokster-cambia-para-mostrar-un-mensaje-amenazante,1,1,0.7117042439058423,,1.0,0.0,0.0029281715396791697,0.00046438732533715665,0.000421050499426201
1139423989_wine-para-las-mac-con-intel,1,1,0.05730964243412018,,0.0,0.0,0.03089924342930317,0.002206461038440466,0.002262001857161522
1139878388_compiz-el-gestor-de-ventanas-que-amenaza-al-windows-vista,0,2,-0.3159107090905309,0.41055803185077944,0.0,0.5,0.42604494583792984,0.0037568549159914255,0.0011352520086802542
1139906463_que-saben-las-webs-que-visitamos-de-nosotros-con-projectip-lo-sabras,0,1,-0.5883905459195375,,0.0,1.0,0.8493310809135437,0.0020096073858439922,0.001113872160203755
1141246504_png-transparentes-desde-css,0,1,0.15421652421355247,,0.0,0.0,0.0013950030552223325,0.0008267771918326616,0.0012630096171051264
1141648418_blockbuster-se-marcha-de-espana-echandole-la-culpa-a-la-pirateria,1,1,-0.9840675520244986,,0.0,1.0,0.8998781442642212,0.00043905829079449177,0.0008660473977215588
1141894454_windows-vista-masticador-de-ram,0,1,-0.8233150662854314,,0.0,1.0,0.006887674331665039,0.01759995147585869,0.018445098772644997
1141905709_lalacom-comparte-sin-que-te-llamen-pirata,0,1,-0.23075339198112488,,0.0,0.0,0.006861850153654814,0.0026158103719353676,0.001758510828949511
1142516657_el-gran-fraude-de-la-gripe-aviar,1,1,0.5713694449514151,,1.0,0.0,0.00047983278636820614,0.018775781616568565,0.0015306994318962097
1142569282_automatix-dandole-un-boost-a-ubuntu,0,1,-0.9273440456017852,,0.0,1.0,0.02954002469778061,0.0013370962115004659,0.002458185888826847
