,0
text_length,0.5994045068094924
avg_comment_karma,0.17701926517789454
avg_comment_length,0.12434376145094536
score,0.11296109253079396
pct_zero_karma,0.09326213835999132
comments_per_commenter,0.0876447678048024
pct_positive_karma,0.07730114374098818
std_comment_karma,0.06712291546990382
total_comment_karma,0.06688868232777387
hour_of_day,0.06379734441727755
comment_activity_duration_hours,0.06149183560767784
karma_range,0.060159088409965984
karma_iqr,0.05731668383781989
num_comments,0.039226190404749714
unique_commenters,0.026920248438498474
is_weekend,0.02083921957578035
num_tags,0.018728049595967123
median_comment_karma,0.010533961847556884
pct_negative_karma,0.0002666496739917964
