article_id,bias_label,n_comments,duration_hours,early_karma_mean,late_karma_mean,karma_drift,early_comment_len,late_comment_len,karma_slope,first_10_hours
1145274948_el-koala-famoso-gracias-a-internet-vende-con-drm,1,15,34.18888888888889,0.0,0.0,0.0,173.33333333333334,164.66666666666666,0.0,3.9338888888888888
1145367810_tom-cruise-se-comera-la-placenta-y-el-cordon-umbilical-de-su-hijo,1,28,50.284166666666664,0.0,0.0,0.0,127.71428571428571,84.57142857142857,0.0,0.9280555555555555
1145800793_terremoto-en-galicia-de-magnitud-4-y-maremoto-de-magnitud-5,1,13,8.608055555555556,0.0,0.0,0.0,138.0,56.0,0.0,5.818888888888889
1145818870_yo-voto-en-blanco-y-tu,1,39,64.25111111111111,0.0,0.0,0.0,299.77777777777777,545.4444444444445,0.0,0.4411111111111111
1145877709_cierran-una-tienda-de-animales-abandonando-los-animales-dentro,1,21,6.120277777777778,0.0,0.0,0.0,120.4,143.6,0.0,2.578333333333333
1145925415_instrucciones-de-instalacion-de-meneame-en-10-no-tan-retorcidos-pasos,0,11,12.607777777777779,0.0,0.0,0.0,7.5,196.5,0.0,12.547777777777778
1145955308_que-es-un-raid,0,12,24.61722222222222,0.0,0.0,0.0,86.33333333333333,187.66666666666666,0.0,13.696944444444444
1145960242_muere-de-un-tumor-un-hombre-al-que-los-medicos-no-creyeron-y-llevaron-a-psiquiatria,1,16,17.758055555555554,0.0,0.0,0.0,129.5,238.75,0.0,4.961944444444445
1146101770_la-generacion-estafada,1,26,15.474444444444444,0.0,0.0,0.0,434.0,406.8333333333333,0.0,8.143055555555556
1146122760_hackear-un-ascensor,1,10,59.48583333333333,0.0,0.0,0.0,231.5,54.5,0.0,59.48583333333333
1146215487_sgae-en-el-emule-que-no-te-intimiden,1,13,14.443888888888889,0.0,0.0,0.0,186.33333333333334,183.66666666666666,0.0,7.391388888888889
1146481071_las-102-peliculas-que-tienes-que-haber-visto,1,22,50.437222222222225,0.0,0.0,0.0,94.4,284.0,0.0,13.660833333333333
1146564003_ubuntu-es-mas-facil-de-instalar-que-windows,1,40,35.85305555555556,0.0,0.0,0.0,253.3,563.6,0.0,2.8680555555555554
1146831020_xitimonitor-la-media-del-20-de-uso-de-firefox-es-sobrepasada-por-la-mitad-de-paises-europe,0,12,16.65861111111111,0.0,0.0,0.0,32.666666666666664,158.66666666666666,0.0,2.3994444444444443
1146851699_y-despues-del-open-source,0,14,49.011944444444445,0.0,0.0,0.0,117.0,353.0,0.0,4.009722222222222
1146999328_hacer-el-amor-en-la-cabina-del-avion-ya-tiene-precio-200-dolares,0,18,31.14527777777778,0.0,0.0,0.0,17.25,104.75,0.0,7.508611111111111
1147082363_manuel-a-cuba-el-ascensor-espacial-ascenderia-desde-una-plataforma-al-oeste-de-ecuador,0,16,30.764722222222222,0.0,0.0,0.0,581.75,394.5,0.0,8.433055555555555
1147094860_los-laboratorios-pfizer-acusados-de-usar-ninos-nigerianos-como-cobayas,1,16,89.88138888888889,0.0,0.0,0.0,154.5,526.5,0.0,0.7302777777777778
1147254943_videotutoriales-en-espanol-de-casi-todo,1,19,82.47555555555556,0.0,0.0,0.0,382.5,47.5,0.0,12.866944444444444
1147305880_esto-es-lo-que-pasa-cuando-se-fomenta-la-cultura-del-siguiente-siguiente-siguiente,1,28,116.89222222222222,0.0,0.0,0.0,91.28571428571429,126.57142857142857,0.0,7.795555555555556
1147436404_el-verdadero-inventor-del-telefono,1,12,29.03361111111111,0.0,0.0,0.0,66.0,57.0,0.0,10.399444444444445
1147649754_la-insolidaridad-con-la-manifestacion-por-una-vivienda-digna,1,12,16.85527777777778,0.0,0.0,0.0,138.33333333333334,138.66666666666666,0.0,11.287777777777778
1147906154_como-piratear-un-vinilo,1,11,21.198611111111113,0.0,0.0,0.0,10.5,224.0,0.0,16.976944444444445
1147982595_los-requisitos-minimos-para-windows-vista-ya-han-sido-anunciados-oficialmente-por-microsof,0,19,26.650833333333335,0.0,0.0,0.0,61.75,170.5,0.0,7.523611111111111
1148049899_se-encuentra-una-rana-en-un-paquete-de-ensalada,1,30,163.15305555555557,0.0,0.0,0.0,72.28571428571429,63.0,0.0,2.332777777777778
1148116547_soldados-israelies-disparan-en-la-cabeza-a-dos-activistas-internacionales-de-paz-en-palest,1,23,109.92611111111111,0.0,0.0,0.0,91.2,164.0,0.0,22.41583333333333
1148244248_gigatron-para-eurovision-2007,0,11,24.230833333333333,0.0,0.0,0.0,6.0,37.5,0.0,20.155
1148327986_tercera-sentada,0,12,20.485277777777778,0.0,0.0,0.0,55.666666666666664,44.666666666666664,0.0,19.61916666666667
1148377818_ceuta-no-podra-ver-mundial-porque-canal-sur-ocupa-canal-sexta,0,10,20.88111111111111,0.0,0.0,0.0,68.5,100.0,0.0,20.88111111111111
1148418273_comerse-mocos-saludable-meterse-dedo-nariz-sano,1,20,23.01638888888889,0.0,0.0,0.0,116.6,143.4,0.0,1.4266666666666667
1148431939_para-todas-personas-leen-meneame,1,17,30.747222222222224,0.0,0.0,0.0,63.75,87.5,0.0,16.156388888888888
1148479897_fresqui-primer-proyecto-web-2.0-espanol-captar-capital,0,43,74.82777777777778,0.0,0.0,0.0,97.0,243.2,0.0,0.6955555555555556
1148683172_piloto-formula-1-queda-sin-carne-circular-francia-214-kmh,0,22,36.51222222222222,0.0,0.0,0.0,97.4,133.6,0.0,10.428888888888888
1148734004_sanidad-publica-espanola-vista-desde-dentro-blog-medico,0,18,32.53388888888889,0.0,0.0,0.0,144.75,404.25,0.0,1.2594444444444444
1148747495_derechos-autor-desde-perspectiva-chico-11-anos,0,27,21.355,0.0,0.0,0.0,82.33333333333333,281.5,0.0,0.43527777777777776
1148750970_siempre-puedo-refinanciar,1,15,24.9225,0.0,0.0,0.0,44.666666666666664,115.33333333333333,0.0,17.958333333333332
1148770488_michael-shumacher-le-quitan-pole-position-gp-monaco,1,32,35.51638888888889,0.0,0.0,0.0,191.0,404.375,0.0,9.649722222222222
1148853000_mdc-wiki-sobre-tecnologias-web,0,13,6.008611111111111,0.0,0.0,0.0,244.66666666666666,119.0,0.0,4.415277777777778
1148891935_telebasura-espanola-en-times,0,21,48.448055555555555,0.0,0.0,0.0,116.2,129.0,0.0,2.6866666666666665
1148928335_libertad-digital-responde-sobre-uso-word,1,46,92.49194444444444,0.0,0.0,0.0,210.1818181818182,472.90909090909093,0.0,1.0094444444444444
1148956832_analisis-examen-informatica-ninos-primer-bachillerato,0,48,62.99444444444445,0.0,0.0,0.0,298.6666666666667,531.9166666666666,0.0,4.591944444444445
1149109352_otro-portatil-linux-instalado-carrefour,1,52,43.32944444444445,0.0,0.0,0.0,134.3846153846154,262.9230769230769,0.0,0.23583333333333334
1149115457_escuela-espanola-diseno-web-sin-diseno,1,37,137.43444444444444,0.0,0.0,0.0,26.444444444444443,113.22222222222223,0.0,0.3238888888888889
1149142661_ahora-si-ha-vuelto-calico-electronico,1,24,32.814166666666665,0.0,0.0,0.0,66.16666666666667,140.16666666666666,0.0,7.4622222222222225
