user,total_articles_commented,bias_exposure_rate,n_biased_articles,n_non_biased_articles,bias_category,outlet_diversity
chinitaguapa,17,0.7647058823529411,13,4,high_bias,14
--102252--,16,0.0625,1,15,low_bias,2
da2010,19,0.7894736842105263,15,4,high_bias,16
--177577--,75,0.7733333333333333,58,17,high_bias,28
Danie26d,16,0.625,10,6,high_bias,10
pablovestory,15,0.6666666666666666,10,5,high_bias,14
quiquep,19,0.5263157894736842,10,9,mixed,17
cumulonimbus,10,0.6,6,4,mixed,8
JACK7K,24,0.625,15,9,high_bias,9
--93350--,93,0.41935483870967744,39,54,mixed,67
--217613--,60,0.7166666666666667,43,17,high_bias,42
rumplestilskin77,32,0.59375,19,13,mixed,22
decaff,59,0.5254237288135594,31,28,mixed,45
--238333--,15,0.26666666666666666,4,11,low_bias,4
capitanpistacho,13,0.8461538461538461,11,2,very_high_bias,8
--166953--,12,0.8333333333333334,10,2,very_high_bias,11
jesusluque,12,0.8333333333333334,10,2,very_high_bias,4
alextz,15,0.2,3,12,low_bias,8
--157755--,134,0.7313432835820896,98,36,high_bias,74
CapitanObvio,42,0.6666666666666666,28,14,high_bias,36
rogerrabbit,11,0.7272727272727273,8,3,high_bias,8
--227452--,75,0.6666666666666666,50,25,high_bias,34
SirPatata,31,0.5806451612903226,18,13,mixed,19
torri90,127,0.6220472440944882,79,48,high_bias,53
bdebaricco,12,0.6666666666666666,8,4,high_bias,12
Black_Phillip,71,0.7183098591549296,51,20,high_bias,43
pedrol,11,0.2727272727272727,3,8,low_bias,8
--190432--,11,0.8181818181818182,9,2,very_high_bias,6
krleza,24,0.7083333333333334,17,7,high_bias,19
--234048--,1225,0.6293877551020408,771,454,high_bias,168
garvelu,13,0.38461538461538464,5,8,low_bias,11
hecvalli,36,0.6944444444444444,25,11,high_bias,19
--236674--,10,0.7,7,3,high_bias,9
NOHERO,11,0.36363636363636365,4,7,low_bias,10
--238605--,100,0.59,59,41,mixed,54
tremebundo,250,0.636,159,91,high_bias,48
fernandoar,73,0.684931506849315,50,23,high_bias,51
--217049--,12,0.5,6,6,mixed,9
--240697--,34,0.6764705882352942,23,11,high_bias,23
--237580--,27,0.4074074074074074,11,16,mixed,13
xload,44,0.5454545454545454,24,20,mixed,9
violencin,12,0.3333333333333333,4,8,low_bias,8
--236314--,318,0.4716981132075472,150,168,mixed,113
--138011--,12,0.16666666666666666,2,10,low_bias,4
sonrye_rafa,31,0.7419354838709677,23,8,high_bias,23
PsySkeletor,39,0.7435897435897436,29,10,high_bias,22
--49076--,55,0.8363636363636363,46,9,very_high_bias,24
Meinster,474,0.6286919831223629,298,176,high_bias,156
devnull,47,0.6170212765957447,29,18,high_bias,34
Israfil,110,0.6545454545454545,72,38,high_bias,60
harverto,25,0.48,12,13,mixed,21
--240407--,43,0.5116279069767442,22,21,mixed,31
magooo,10,0.2,2,8,low_bias,4
Chrp,14,0.6428571428571429,9,5,high_bias,12
acf,11,0.6363636363636364,7,4,high_bias,10
elpayito,96,0.6458333333333334,62,34,high_bias,52
gremin,16,0.25,4,12,low_bias,13
linuxx5046,24,0.7083333333333334,17,7,high_bias,19
Sir_Miyav,10,0.4,4,6,low_bias,9
--164107--,72,0.6944444444444444,50,22,high_bias,30
thingoldedoriath,1316,0.6557750759878419,863,453,high_bias,325
--173287--,242,0.6446280991735537,156,86,high_bias,75
--132649--,31,0.7741935483870968,24,7,high_bias,24
--240960--,17,0.7058823529411765,12,5,high_bias,14
JuicioAlfon,59,0.5932203389830508,35,24,mixed,27
dersu_uzala,32,0.75,24,8,high_bias,22
petetepo,38,0.5789473684210527,22,16,mixed,26
Brucen,32,0.625,20,12,high_bias,23
li70,23,0.7391304347826086,17,6,high_bias,19
--232867--,58,0.5344827586206896,31,27,mixed,22
Extratenestre,45,0.6444444444444445,29,16,high_bias,25
--201863--,248,0.7459677419354839,185,63,high_bias,100
asier3d,13,0.46153846153846156,6,7,mixed,10
mesi,21,0.2857142857142857,6,15,low_bias,14
treintaitantos,62,0.7580645161290323,47,15,high_bias,37
kyle,16,0.625,10,6,high_bias,14
--238841--,68,0.6911764705882353,47,21,high_bias,48
straw,48,0.6041666666666666,29,19,high_bias,31
--116146--,22,0.6818181818181818,15,7,high_bias,15
--181727--,85,0.5411764705882353,46,39,mixed,39
Vladimir693,26,0.6153846153846154,16,10,high_bias,19
--229738--,15,0.13333333333333333,2,13,low_bias,10
--242079--,20,0.55,11,9,mixed,10
makarzur,13,0.5384615384615384,7,6,mixed,11
geletee,43,0.5813953488372093,25,18,mixed,27
Xema89,15,0.7333333333333333,11,4,high_bias,11
Cesc_,73,0.7534246575342466,55,18,high_bias,44
Gargonslipfisk,25,0.44,11,14,mixed,21
--241737--,155,0.6129032258064516,95,60,high_bias,99
Cutlass,61,0.639344262295082,39,22,high_bias,38
Lupin_3rd,12,0.75,9,3,high_bias,7
Or3,138,0.47101449275362317,65,73,mixed,72
--229170--,20,0.65,13,7,high_bias,6
DavidInmoral,13,0.46153846153846156,6,7,mixed,7
--241290--,78,0.5897435897435898,46,32,mixed,26
--243576--,27,0.7037037037037037,19,8,high_bias,15
marcusson1974,17,0.35294117647058826,6,11,low_bias,13
--240474--,117,0.7008547008547008,82,35,high_bias,75
abcdefghi,37,0.5675675675675675,21,16,mixed,16
Davor_Vitief,10,0.4,4,6,low_bias,9
bobo8,36,0.4722222222222222,17,19,mixed,17
cegaso,36,0.3888888888888889,14,22,low_bias,9
nomelocreo,17,0.5294117647058824,9,8,mixed,15
Dakkon,15,0.9333333333333333,14,1,very_high_bias,11
angat,83,0.40963855421686746,34,49,mixed,40
lagrange,16,0.5,8,8,mixed,10
