user,total_articles_commented,bias_exposure_rate,n_biased_articles,n_non_biased_articles,bias_category,outlet_diversity
methhhp,47,0.5319148936170213,25,22,mixed,36
--2552--,20,0.35,7,13,low_bias,18
NekroByte,17,0.6470588235294118,11,6,high_bias,14
--8960--,14,0.14285714285714285,2,12,low_bias,8
--8524--,36,0.5277777777777778,19,17,mixed,26
velit6,21,0.7619047619047619,16,5,high_bias,16
--8995--,236,0.6398305084745762,151,85,high_bias,119
Remo,11,0.45454545454545453,5,6,mixed,10
Kachinvo,12,0.5833333333333334,7,5,mixed,8
Tatoh,49,0.5510204081632653,27,22,mixed,32
sorrillo,2068,0.5570599613152805,1152,916,mixed,390
Nagamasa,112,0.6696428571428571,75,37,high_bias,40
--7636--,242,0.5826446280991735,141,101,mixed,152
SirMcLouis,131,0.4961832061068702,65,66,mixed,52
daedin,53,0.7735849056603774,41,12,high_bias,34
bar,18,0.6111111111111112,11,7,high_bias,14
Cruppo,10,0.7,7,3,high_bias,9
arcangel2p,61,0.4098360655737705,25,36,mixed,53
Netito,10,0.7,7,3,high_bias,8
--8552--,139,0.6187050359712231,86,53,high_bias,76
karlochacon,12,0.5,6,6,mixed,11
-pasillo-,38,0.6578947368421053,25,13,high_bias,31
--5462--,12,0.4166666666666667,5,7,mixed,12
--8556--,391,0.6035805626598465,236,155,high_bias,118
luissma,62,0.6451612903225806,40,22,high_bias,45
miva,70,0.8,56,14,high_bias,45
--9113--,244,0.8811475409836066,215,29,very_high_bias,61
rashaat,19,0.5789473684210527,11,8,mixed,18
--4301--,20,0.5,10,10,mixed,17
Toranks,395,0.6227848101265823,246,149,high_bias,190
celtico,14,0.6428571428571429,9,5,high_bias,14
--9037--,36,0.5833333333333334,21,15,mixed,22
Daefen,12,0.4166666666666667,5,7,mixed,12
Axel,17,0.8235294117647058,14,3,very_high_bias,14
pirulotropical,25,0.72,18,7,high_bias,22
Patxi_,181,0.6132596685082873,111,70,high_bias,103
Democrito,65,0.5230769230769231,34,31,mixed,41
Black_Diamond,233,0.5321888412017167,124,109,mixed,146
crysys,59,0.6440677966101694,38,21,high_bias,37
Review,34,0.5,17,17,mixed,25
ximovai,25,0.56,14,11,mixed,20
--8550--,16,0.25,4,12,low_bias,9
javito118,50,0.76,38,12,high_bias,15
--1565--,11,0.7272727272727273,8,3,high_bias,8
CarlosSR,405,0.6641975308641975,269,136,high_bias,158
--9133--,38,0.23684210526315788,9,29,low_bias,14
n0user,11,0.5454545454545454,6,5,mixed,9
dfg,22,0.5909090909090909,13,9,mixed,8
elvaka,12,0.5833333333333334,7,5,mixed,10
vaniamene,10,0.7,7,3,high_bias,9
SiCk,148,0.5405405405405406,80,68,mixed,95
--3279--,126,0.7142857142857143,90,36,high_bias,68
raze,90,0.7777777777777778,70,20,high_bias,66
Darawa,10,1.0,10,0,very_high_bias,2
ZombiekE,139,0.7122302158273381,99,40,high_bias,63
derecks,28,0.42857142857142855,12,16,mixed,18
Herumel,171,0.5964912280701754,102,69,mixed,91
sergi0,132,0.6666666666666666,88,44,high_bias,33
jesusr,66,0.5606060606060606,37,29,mixed,44
pofesiona,23,0.6956521739130435,16,7,high_bias,19
--9826--,34,0.5882352941176471,20,14,mixed,28
--10305--,19,0.5263157894736842,10,9,mixed,14
gskbyte,68,0.6176470588235294,42,26,high_bias,57
--8234--,115,0.6695652173913044,77,38,high_bias,72
--490--,12,0.5833333333333334,7,5,mixed,7
Peppelin,14,0.8571428571428571,12,2,very_high_bias,13
el-aleman,106,0.6509433962264151,69,37,high_bias,58
peloxi,103,0.6213592233009708,64,39,high_bias,72
--10140--,20,0.7,14,6,high_bias,18
hamster_ruso,37,0.5135135135135135,19,18,mixed,28
madcrusoe,102,0.47058823529411764,48,54,mixed,48
edmont,269,0.5985130111524164,161,108,mixed,112
manzanito75,14,0.8571428571428571,12,2,very_high_bias,5
sauco82,67,0.5074626865671642,34,33,mixed,36
apuntando,47,0.8085106382978723,38,9,very_high_bias,25
SirViente,69,0.6811594202898551,47,22,high_bias,23
kras,20,0.85,17,3,very_high_bias,16
pamoga,16,0.6875,11,5,high_bias,15
Liso,33,0.45454545454545453,15,18,mixed,18
Arrikitinkituaun,28,0.7142857142857143,20,8,high_bias,20
Variable,160,0.60625,97,63,high_bias,82
raids,51,0.6274509803921569,32,19,high_bias,37
yaestabien,14,0.9285714285714286,13,1,very_high_bias,5
my.self,41,0.5853658536585366,24,17,mixed,25
valar_morghulis,62,0.45161290322580644,28,34,mixed,24
Goldstein,47,0.9148936170212766,43,4,very_high_bias,22
kapitolkapitol,215,0.6046511627906976,130,85,high_bias,117
--10485--,27,0.5555555555555556,15,12,mixed,21
--4653--,13,0.38461538461538464,5,8,low_bias,12
sk4os,32,0.375,12,20,low_bias,16
Gol_en_Contra,118,0.6440677966101694,76,42,high_bias,50
aaadddsss,38,0.7105263157894737,27,11,high_bias,18
mastorgano,15,0.6666666666666666,10,5,high_bias,14
--8401--,28,0.6071428571428571,17,11,high_bias,21
--9762--,32,0.53125,17,15,mixed,18
--10615--,28,0.6428571428571429,18,10,high_bias,23
--5119--,15,0.7333333333333333,11,4,high_bias,14
Pumba,30,0.8666666666666667,26,4,very_high_bias,18
--8024--,25,0.52,13,12,mixed,17
Wendigo,582,0.7027491408934707,409,173,high_bias,259
gorgonsola,33,0.6666666666666666,22,11,high_bias,26
Iñigo.Montoya,12,0.3333333333333333,4,8,low_bias,8
impalah,34,0.38235294117647056,13,21,low_bias,27
chesco,15,0.6,9,6,mixed,13
valo,11,0.6363636363636364,7,4,high_bias,10
kikoseis,225,0.6622222222222223,149,76,high_bias,102
--1662--,273,0.6483516483516484,177,96,high_bias,110
merolhack,11,0.45454545454545453,5,6,mixed,10
Creatubers,16,0.625,10,6,high_bias,11
virginia,50,0.5,25,25,mixed,32
javipe,105,0.6,63,42,mixed,70
ajdelgado,15,0.6666666666666666,10,5,high_bias,13
--10803--,228,0.6008771929824561,137,91,high_bias,123
rafamerida,13,0.7692307692307693,10,3,high_bias,12
francisco,281,0.608540925266904,171,110,high_bias,84
--10211--,14,0.7857142857142857,11,3,high_bias,8
mindframe,91,0.7032967032967034,64,27,high_bias,52
--9610--,47,0.723404255319149,34,13,high_bias,24
Nerk,45,0.6444444444444445,29,16,high_bias,32
aragorn25,10,0.2,2,8,low_bias,3
just_a_guy,19,0.631578947368421,12,7,high_bias,17
--8898--,10,0.7,7,3,high_bias,7
drjekil,13,0.5384615384615384,7,6,mixed,8
jeroenwtf,87,0.6551724137931034,57,30,high_bias,58
Ka0,169,0.650887573964497,110,59,high_bias,102
Bedel_roolmo,28,0.5714285714285714,16,12,mixed,26
hispania,34,0.5882352941176471,20,14,mixed,22
ibanez,63,0.6349206349206349,40,23,high_bias,48
--10888--,18,0.6111111111111112,11,7,high_bias,16
--11650--,30,0.9,27,3,very_high_bias,27
tijuana,39,0.5128205128205128,20,19,mixed,24
shavee,92,0.5434782608695652,50,42,mixed,74
deabru,228,0.6052631578947368,138,90,high_bias,129
hande,14,0.35714285714285715,5,9,low_bias,10
Sooz,11,0.6363636363636364,7,4,high_bias,5
Hysbald,26,0.7692307692307693,20,6,high_bias,20
--11942--,26,0.5384615384615384,14,12,mixed,22
carles,33,0.8484848484848485,28,5,very_high_bias,17
strider,163,0.6073619631901841,99,64,high_bias,76
--11273--,160,0.65,104,56,high_bias,117
--11289--,18,0.6666666666666666,12,6,high_bias,10
jpinkfloyd,10,0.1,1,9,low_bias,4
ninfireblade,15,0.6,9,6,mixed,8
--7574--,10,0.6,6,4,mixed,10
SunMing,11,1.0,11,0,very_high_bias,5
trotamundo,27,0.7407407407407407,20,7,high_bias,21
inniyah,58,0.5862068965517241,34,24,mixed,28
zombie,15,0.4666666666666667,7,8,mixed,12
Censurado,101,0.5346534653465347,54,47,mixed,59
--2052--,231,0.6493506493506493,150,81,high_bias,73
lalaaalo,10,0.8,8,2,high_bias,6
Alexliam,10,0.7,7,3,high_bias,6
ruberboy,11,0.45454545454545453,5,6,mixed,10
--324--,282,0.6418439716312057,181,101,high_bias,135
--7352--,44,0.5909090909090909,26,18,mixed,26
HaScHi,291,0.6219931271477663,181,110,high_bias,202
Nies,14,0.6428571428571429,9,5,high_bias,9
--8004--,23,0.6521739130434783,15,8,high_bias,13
dmar,76,0.7236842105263158,55,21,high_bias,43
--7631--,14,0.6428571428571429,9,5,high_bias,13
--11387--,19,0.5263157894736842,10,9,mixed,18
--9197--,35,0.6285714285714286,22,13,high_bias,27
freaker,14,0.5,7,7,mixed,12
--7398--,54,0.7592592592592593,41,13,high_bias,37
KO8E,14,0.8571428571428571,12,2,very_high_bias,13
Skarmiglione,11,1.0,11,0,very_high_bias,5
sumiciu,56,0.5892857142857143,33,23,mixed,38
McManus,84,0.6428571428571429,54,30,high_bias,56
ElPasmo,18,0.7222222222222222,13,5,high_bias,12
sisifo17,42,0.5952380952380952,25,17,mixed,15
Catacroc,248,0.6733870967741935,167,81,high_bias,112
patiburrillo,13,1.0,13,0,very_high_bias,8
Magankie,103,0.5825242718446602,60,43,mixed,68
--7172--,55,0.6363636363636364,35,20,high_bias,39
CANITO,40,0.65,26,14,high_bias,30
gmaximo,20,0.55,11,9,mixed,17
--12453--,140,0.6142857142857143,86,54,high_bias,58
Adolfito,13,0.8461538461538461,11,2,very_high_bias,11
Yore,17,0.7647058823529411,13,4,high_bias,16
cubano,58,0.603448275862069,35,23,high_bias,40
KYTT,10,0.8,8,2,high_bias,6
Akes,26,0.7692307692307693,20,6,high_bias,14
--11417--,807,0.5700123915737298,460,347,mixed,223
--2553--,17,0.35294117647058826,6,11,low_bias,10
--9299--,65,0.6615384615384615,43,22,high_bias,47
rufo007,54,0.6666666666666666,36,18,high_bias,32
Hardiel,12,0.6666666666666666,8,4,high_bias,12
Fernando_x,739,0.6644113667117727,491,248,high_bias,201
--9937--,11,0.7272727272727273,8,3,high_bias,7
--1502--,15,0.6,9,6,mixed,15
--7331--,80,0.5375,43,37,mixed,48
trebol-a,25,0.84,21,4,very_high_bias,22
dreidel,34,0.5294117647058824,18,16,mixed,26
sabbat,38,0.8947368421052632,34,4,very_high_bias,28
Mopay,15,0.8,12,3,high_bias,10
brainsqueezer,56,0.48214285714285715,27,29,mixed,34
CharlituS,99,0.6767676767676768,67,32,high_bias,55
DaniT,11,0.8181818181818182,9,2,very_high_bias,10
kelp,42,0.5238095238095238,22,20,mixed,33
tokao,10,0.6,6,4,mixed,9
Pontifex,13,1.0,13,0,very_high_bias,9
ecocat,10,0.5,5,5,mixed,8
turko,13,0.7692307692307693,10,3,high_bias,7
libelula,13,0.8461538461538461,11,2,very_high_bias,10
Fajro,15,0.5333333333333333,8,7,mixed,12
--3933--,41,0.5121951219512195,21,20,mixed,30
casicasi,443,0.6930022573363431,307,136,high_bias,151
coconuda,36,0.6944444444444444,25,11,high_bias,34
--13499--,13,0.38461538461538464,5,8,low_bias,11
--8265--,15,0.6,9,6,mixed,15
--10627--,34,0.4117647058823529,14,20,mixed,21
EmuAGR,330,0.40606060606060607,134,196,mixed,126
ososxe,84,0.5833333333333334,49,35,mixed,51
AnTiX,100,0.65,65,35,high_bias,72
--12359--,26,0.5769230769230769,15,11,mixed,23
Granjero,59,0.7966101694915254,47,12,high_bias,39
caente,13,0.7692307692307693,10,3,high_bias,9
CarlosValencia,14,0.5714285714285714,8,6,mixed,11
--8164--,202,0.6089108910891089,123,79,high_bias,114
josujon,21,0.6190476190476191,13,8,high_bias,15
--6883--,545,0.48440366972477067,264,281,mixed,101
peregrino,37,0.5135135135135135,19,18,mixed,32
--6660--,16,0.625,10,6,high_bias,14
Murex,57,0.6491228070175439,37,20,high_bias,45
SantiH,45,0.5111111111111111,23,22,mixed,27
Esmolante,28,0.5,14,14,mixed,16
ahio,18,0.6666666666666666,12,6,high_bias,15
kheldar,21,0.5238095238095238,11,10,mixed,18
kodiak,13,0.6923076923076923,9,4,high_bias,7
--9976--,25,0.72,18,7,high_bias,20
JRMora,59,0.6101694915254238,36,23,high_bias,43
Sagman,10,0.4,4,6,low_bias,8
registros,22,0.3181818181818182,7,15,low_bias,13
--12038--,60,0.6666666666666666,40,20,high_bias,30
almarma,19,0.6842105263157895,13,6,high_bias,18
Cyberlarry,61,0.5901639344262295,36,25,mixed,45
Malolillo,42,0.7380952380952381,31,11,high_bias,37
--2747--,38,0.7368421052631579,28,10,high_bias,26
--10403--,137,0.7956204379562044,109,28,high_bias,37
NortonEmperor,25,0.44,11,14,mixed,17
kkmonokk,18,0.7777777777777778,14,4,high_bias,15
doup,11,0.36363636363636365,4,7,low_bias,11
Achilles,13,0.7692307692307693,10,3,high_bias,13
ny80,47,0.5531914893617021,26,21,mixed,30
Eli25bcn,67,0.6865671641791045,46,21,high_bias,40
--7069--,20,0.5,10,10,mixed,14
--14039--,26,0.7692307692307693,20,6,high_bias,16
--10638--,13,0.46153846153846156,6,7,mixed,11
manc,15,0.9333333333333333,14,1,very_high_bias,10
CO2,12,0.75,9,3,high_bias,10
--12878--,173,0.5549132947976878,96,77,mixed,102
Vindius,38,0.6578947368421053,25,13,high_bias,31
mono,162,0.6790123456790124,110,52,high_bias,97
kadmon,162,0.5617283950617284,91,71,mixed,75
Tini,17,0.7058823529411765,12,5,high_bias,17
ivan123,207,0.5990338164251208,124,83,mixed,85
rasca,90,0.5666666666666667,51,39,mixed,70
Pablosky,185,0.5405405405405406,100,85,mixed,104
demetzell,23,0.9130434782608695,21,2,very_high_bias,11
Aitortxu,289,0.5432525951557093,157,132,mixed,58
mikelete,54,0.5925925925925926,32,22,mixed,39
--12617--,53,0.5849056603773585,31,22,mixed,38
el_pira,41,0.7317073170731707,30,11,high_bias,28
davidhdz,23,0.34782608695652173,8,15,low_bias,17
jferrero,12,0.5,6,6,mixed,11
ng4373,21,1.0,21,0,very_high_bias,1
--11830--,54,0.5,27,27,mixed,42
--566--,12,0.6666666666666666,8,4,high_bias,9
--12936--,13,0.6923076923076923,9,4,high_bias,11
aberron,88,0.7045454545454546,62,26,high_bias,38
chefro,23,0.782608695652174,18,5,high_bias,14
f5inet,142,0.5985915492957746,85,57,mixed,84
miguell,10,0.6,6,4,mixed,7
tomasulo,37,0.7297297297297297,27,10,high_bias,30
halftime,24,0.5833333333333334,14,10,mixed,16
--6572--,24,0.9583333333333334,23,1,very_high_bias,6
noises,158,0.6139240506329114,97,61,high_bias,100
neo22s,67,0.6268656716417911,42,25,high_bias,47
jorso,136,0.6544117647058824,89,47,high_bias,90
Sam,10,0.9,9,1,very_high_bias,6
Menda,34,0.5,17,17,mixed,28
freeCode,59,0.5084745762711864,30,29,mixed,52
Shora,11,0.7272727272727273,8,3,high_bias,5
oblongo0,10,0.5,5,5,mixed,9
Nirgal,237,0.6540084388185654,155,82,high_bias,149
parapo,41,0.6341463414634146,26,15,high_bias,36
klam,126,0.6825396825396826,86,40,high_bias,87
Tumbadito,263,0.6349809885931559,167,96,high_bias,110
--15509--,92,0.5652173913043478,52,40,mixed,61
tnt80,164,0.6524390243902439,107,57,high_bias,115
--13330--,156,0.6666666666666666,104,52,high_bias,77
josemaX,34,0.38235294117647056,13,21,low_bias,27
demostenes,280,0.5714285714285714,160,120,mixed,164
dserra3,11,0.7272727272727273,8,3,high_bias,11
pinkix,331,0.6706948640483383,222,109,high_bias,76
gejobj,27,0.5925925925925926,16,11,mixed,24
--14775--,412,0.6286407766990292,259,153,high_bias,211
--16122--,35,0.6,21,14,mixed,26
--10975--,39,0.6923076923076923,27,12,high_bias,31
--11393--,11,0.8181818181818182,9,2,very_high_bias,9
--16003--,19,0.8421052631578947,16,3,very_high_bias,15
Sandevil,111,0.5855855855855856,65,46,mixed,84
--14125--,194,0.7422680412371134,144,50,high_bias,95
--13085--,143,0.6083916083916084,87,56,high_bias,81
AluminiuM,32,0.5,16,16,mixed,28
black_flag,106,0.6509433962264151,69,37,high_bias,47
--3355--,21,0.7142857142857143,15,6,high_bias,14
mitxi21,27,0.48148148148148145,13,14,mixed,23
lord_of_freaks,19,0.7894736842105263,15,4,high_bias,17
otama,115,0.6695652173913044,77,38,high_bias,79
Jimmy_RAY,30,0.4666666666666667,14,16,mixed,23
lolofarisco,12,0.5,6,6,mixed,12
aquihubounusuario,32,0.4375,14,18,mixed,20
osiris,140,0.4642857142857143,65,75,mixed,79
Siete,29,0.6206896551724138,18,11,high_bias,19
HoyNo,63,0.5238095238095238,33,30,mixed,57
--15653--,66,0.7272727272727273,48,18,high_bias,22
ikatza,454,0.7533039647577092,342,112,high_bias,140
yodi,17,0.47058823529411764,8,9,mixed,16
diminuta,196,0.6836734693877551,134,62,high_bias,95
--14256--,11,0.5454545454545454,6,5,mixed,7
Don_Pablos,19,0.5789473684210527,11,8,mixed,15
ikio,128,0.6015625,77,51,high_bias,42
kiio1,10,0.7,7,3,high_bias,9
--15132--,18,0.6111111111111112,11,7,high_bias,13
--12093--,18,0.6666666666666666,12,6,high_bias,11
josemoreno,11,0.2727272727272727,3,8,low_bias,9
akiv,37,0.8378378378378378,31,6,very_high_bias,25
--14179--,14,0.6428571428571429,9,5,high_bias,14
Evadido,11,0.7272727272727273,8,3,high_bias,7
--14937--,14,0.42857142857142855,6,8,mixed,12
--12225--,34,0.6176470588235294,21,13,high_bias,29
joancg,14,0.7142857142857143,10,4,high_bias,12
metsuke,10,0.4,4,6,low_bias,3
--15384--,69,0.5797101449275363,40,29,mixed,42
elverdezlomejor,194,0.6288659793814433,122,72,high_bias,64
Colymore,16,0.5625,9,7,mixed,9
rob3ro,26,0.46153846153846156,12,14,mixed,25
--4114--,20,0.9,18,2,very_high_bias,9
elhobbit,107,0.6542056074766355,70,37,high_bias,75
--9240--,28,0.6428571428571429,18,10,high_bias,23
--10689--,178,0.5786516853932584,103,75,mixed,90
gonzalovalenzuela,13,0.6923076923076923,9,4,high_bias,13
krous,29,0.6206896551724138,18,11,high_bias,21
olcadia,28,0.6785714285714286,19,9,high_bias,16
diegocg,83,0.6867469879518072,57,26,high_bias,55
Bad_CRC,56,0.42857142857142855,24,32,mixed,38
Pacolo,20,0.7,14,6,high_bias,17
Animal,11,0.7272727272727273,8,3,high_bias,10
jonolulu,546,0.554945054945055,303,243,mixed,199
--17317--,46,0.6304347826086957,29,17,high_bias,36
Dyork,13,0.7692307692307693,10,3,high_bias,11
tuxcator,54,0.7777777777777778,42,12,high_bias,48
and,12,0.6666666666666666,8,4,high_bias,12
--16907--,236,0.614406779661017,145,91,high_bias,140
zaladquiel,36,0.6111111111111112,22,14,high_bias,31
opinador,68,0.4264705882352941,29,39,mixed,39
forastero,10,0.5,5,5,mixed,10
NAKO1983,48,0.6458333333333334,31,17,high_bias,44
--17483--,48,0.5,24,24,mixed,41
rootzero,22,0.6363636363636364,14,8,high_bias,14
bystander,43,0.7674418604651163,33,10,high_bias,23
inquedanzas,15,0.6,9,6,mixed,8
--1515--,15,0.4666666666666667,7,8,mixed,5
--10938--,22,0.6363636363636364,14,8,high_bias,19
--11111--,26,0.5384615384615384,14,12,mixed,19
nogod,26,0.5769230769230769,15,11,mixed,6
ECairn,12,0.8333333333333334,10,2,very_high_bias,12
flekyboy,190,0.5210526315789473,99,91,mixed,132
gnsks2006,16,0.3125,5,11,low_bias,8
planetPainter,16,0.25,4,12,low_bias,12
Ludwigvan,11,0.8181818181818182,9,2,very_high_bias,8
jpablo,88,0.6363636363636364,56,32,high_bias,53
Pacomeco,194,0.654639175257732,127,67,high_bias,68
riska,74,0.7027027027027027,52,22,high_bias,42
jcarrey,45,0.5777777777777777,26,19,mixed,37
Ranadion,38,0.631578947368421,24,14,high_bias,28
Aguarate,31,0.4838709677419355,15,16,mixed,22
Abeel,242,0.5909090909090909,143,99,mixed,154
endevido,24,0.375,9,15,low_bias,20
--16029--,257,0.5097276264591439,131,126,mixed,118
dankz,109,0.6330275229357798,69,40,high_bias,59
fiberpum,12,0.75,9,3,high_bias,10
kabute,30,0.43333333333333335,13,17,mixed,22
--18211--,13,0.46153846153846156,6,7,mixed,11
elflash,13,0.5384615384615384,7,6,mixed,9
d.c.,12,0.5,6,6,mixed,8
--15869--,10,0.8,8,2,high_bias,8
Subtle_Madafacka,126,0.7301587301587301,92,34,high_bias,65
Zade,350,0.5057142857142857,177,173,mixed,145
--10686--,16,0.5,8,8,mixed,15
Aidann,102,0.6470588235294118,66,36,high_bias,76
healperci,25,0.56,14,11,mixed,22
deprecator,17,0.6470588235294118,11,6,high_bias,16
Linnk,19,0.8947368421052632,17,2,very_high_bias,16
Orzowei,123,0.6991869918699187,86,37,high_bias,83
B4rret,13,0.6923076923076923,9,4,high_bias,12
Liposan,12,0.6666666666666666,8,4,high_bias,12
Blend,34,0.5294117647058824,18,16,mixed,20
raxor,47,0.5531914893617021,26,21,mixed,35
pacodani,12,0.4166666666666667,5,7,mixed,11
Vorador,61,0.5409836065573771,33,28,mixed,52
bass,28,0.6428571428571429,18,10,high_bias,19
--18524--,25,0.6,15,10,mixed,19
CaNeLa,11,0.5454545454545454,6,5,mixed,11
--4659--,194,0.6494845360824743,126,68,high_bias,98
panchurret,24,0.9166666666666666,22,2,very_high_bias,11
milf,21,0.6190476190476191,13,8,high_bias,18
Comrade,52,0.6346153846153846,33,19,high_bias,43
musg0,322,0.6335403726708074,204,118,high_bias,163
niquelao,19,1.0,19,0,very_high_bias,13
Erizo,22,0.6818181818181818,15,7,high_bias,20
reygecko,60,0.5166666666666667,31,29,mixed,46
--18452--,50,0.46,23,27,mixed,40
SergioZgz,179,0.5251396648044693,94,85,mixed,64
--8729--,30,0.4666666666666667,14,16,mixed,24
Ashark,132,0.7121212121212122,94,38,high_bias,91
shine,26,0.6153846153846154,16,10,high_bias,21
Txukie,15,0.7333333333333333,11,4,high_bias,12
bulkcopy,23,0.7391304347826086,17,6,high_bias,14
victorhpi,92,0.717391304347826,66,26,high_bias,73
josepzin,20,0.7,14,6,high_bias,16
--18460--,33,0.5454545454545454,18,15,mixed,26
marc0,116,0.6293103448275862,73,43,high_bias,60
daemon,21,0.6190476190476191,13,8,high_bias,17
--6339--,13,0.8461538461538461,11,2,very_high_bias,10
--15036--,17,0.5294117647058824,9,8,mixed,17
WcPC,194,0.5463917525773195,106,88,mixed,102
--10669--,34,0.7058823529411765,24,10,high_bias,24
--19026--,49,0.6326530612244898,31,18,high_bias,42
--19792--,31,0.8064516129032258,25,6,very_high_bias,16
xaman,502,0.6175298804780877,310,192,high_bias,176
indalito,19,0.7368421052631579,14,5,high_bias,17
--17705--,21,0.5714285714285714,12,9,mixed,14
fingulod,383,0.5639686684073107,216,167,mixed,112
--16082--,19,0.631578947368421,12,7,high_bias,10
KiKiLLo,52,0.5769230769230769,30,22,mixed,45
Gunman,13,0.6153846153846154,8,5,high_bias,12
kverko,14,0.5,7,7,mixed,12
jacarepagua,35,0.45714285714285713,16,19,mixed,30
flashinghurt,34,0.6764705882352942,23,11,high_bias,25
ringo2006,38,0.6052631578947368,23,15,high_bias,29
tomy,41,0.5365853658536586,22,19,mixed,32
SmallBlueThing,36,0.6666666666666666,24,12,high_bias,15
kilgram,21,0.8095238095238095,17,4,very_high_bias,15
--15634--,35,0.4857142857142857,17,18,mixed,23
simon_templario,17,0.7058823529411765,12,5,high_bias,12
inverse,23,0.7391304347826086,17,6,high_bias,13
quicksort,51,0.803921568627451,41,10,very_high_bias,19
Libertual,321,0.6386292834890965,205,116,high_bias,142
--18952--,187,0.7486631016042781,140,47,high_bias,74
Aresito,15,0.06666666666666667,1,14,low_bias,5
Dalia,10,0.3,3,7,low_bias,4
ajripa,36,0.6111111111111112,22,14,high_bias,28
andresrguez,1029,0.5481049562682215,564,465,mixed,345
rafaLin,445,0.4696629213483146,209,236,mixed,185
picateclas,10,0.5,5,5,mixed,9
aritzg,54,0.6111111111111112,33,21,high_bias,42
theosk,50,0.5,25,25,mixed,39
EQLucky,83,0.13253012048192772,11,72,low_bias,11
brau_,15,0.5333333333333333,8,7,mixed,10
--20391--,14,0.5714285714285714,8,6,mixed,11
gothmog,92,0.717391304347826,66,26,high_bias,47
--19714--,13,0.8461538461538461,11,2,very_high_bias,10
Krash,10,0.7,7,3,high_bias,10
Bernard,274,0.6240875912408759,171,103,high_bias,130
diedvalar,18,0.2222222222222222,4,14,low_bias,11
atb1983,10,0.8,8,2,high_bias,10
Wayfarer,780,0.6282051282051282,490,290,high_bias,355
kanon,11,0.6363636363636364,7,4,high_bias,9
--11405--,12,1.0,12,0,very_high_bias,2
darkglam,14,0.35714285714285715,5,9,low_bias,10
--9781--,81,0.38271604938271603,31,50,low_bias,22
Frogg,135,0.7111111111111111,96,39,high_bias,43
Schaduwplek,21,0.6190476190476191,13,8,high_bias,19
Wilder,346,0.5838150289017341,202,144,mixed,142
ElBulla,11,0.36363636363636365,4,7,low_bias,9
Yomolocantidubi,33,0.6060606060606061,20,13,high_bias,28
Aladaris,88,0.5227272727272727,46,42,mixed,74
chupetina,36,0.6388888888888888,23,13,high_bias,27
dusseldorf,20,0.55,11,9,mixed,13
Sorrow,13,0.7692307692307693,10,3,high_bias,12
--17297--,21,0.9047619047619048,19,2,very_high_bias,17
--20916--,25,0.64,16,9,high_bias,23
Zzelp,217,0.5668202764976958,123,94,mixed,132
TitereConCabeza,54,0.6111111111111112,33,21,high_bias,31
--14723--,56,0.7857142857142857,44,12,high_bias,28
krollspell,102,0.6078431372549019,62,40,high_bias,88
AlfredoCuaresma,14,0.35714285714285715,5,9,low_bias,10
Koni,21,0.8095238095238095,17,4,very_high_bias,17
NMo,11,0.5454545454545454,6,5,mixed,10
--20479--,14,0.7857142857142857,11,3,high_bias,13
--20605--,41,0.5853658536585366,24,17,mixed,29
pinar,36,0.4444444444444444,16,20,mixed,23
otrobloginutil,32,0.625,20,12,high_bias,27
rohirr,13,0.6923076923076923,9,4,high_bias,11
Peavey,19,0.5263157894736842,10,9,mixed,14
traker,21,0.6190476190476191,13,8,high_bias,16
timonoj,90,0.7,63,27,high_bias,69
Peka,632,0.6044303797468354,382,250,high_bias,154
--21152--,28,0.6428571428571429,18,10,high_bias,24
cosmo-polita,14,0.0,0,14,low_bias,1
woodecker,15,0.5333333333333333,8,7,mixed,15
drjackZon,29,0.7241379310344828,21,8,high_bias,26
Monique,55,0.6727272727272727,37,18,high_bias,36
acalpixca,16,0.5625,9,7,mixed,10
--18896--,129,0.6976744186046512,90,39,high_bias,51
oneras,93,0.5806451612903226,54,39,mixed,60
Ryo,40,0.65,26,14,high_bias,30
to3,44,0.7727272727272727,34,10,high_bias,36
gontxa,185,0.5405405405405406,100,85,mixed,108
--16702--,14,0.8571428571428571,12,2,very_high_bias,9
miliki28,328,0.6554878048780488,215,113,high_bias,106
k-GaT,28,0.7857142857142857,22,6,high_bias,22
etsaibat,60,0.8166666666666667,49,11,very_high_bias,28
nexodo,30,0.6333333333333333,19,11,high_bias,27
--7654--,15,0.9333333333333333,14,1,very_high_bias,14
juagar,33,0.6060606060606061,20,13,high_bias,22
--7521--,11,0.9090909090909091,10,1,very_high_bias,9
pablo82,46,0.5217391304347826,24,22,mixed,32
Barracuda,26,0.6538461538461539,17,9,high_bias,23
javierreta,40,0.7,28,12,high_bias,34
jesucas,14,0.5714285714285714,8,6,mixed,11
hum,20,0.55,11,9,mixed,17
bralmu,56,0.5,28,28,mixed,47
--20470--,72,0.7916666666666666,57,15,high_bias,42
boalar,27,0.5925925925925926,16,11,mixed,19
--10021--,24,0.625,15,9,high_bias,24
hutter,329,0.6717325227963525,221,108,high_bias,178
Tannhauser,224,0.5580357142857143,125,99,mixed,89
al_ghul,47,0.5957446808510638,28,19,mixed,43
xelloss,17,0.7647058823529411,13,4,high_bias,10
guillecs,16,0.625,10,6,high_bias,10
donatien,209,0.6555023923444976,137,72,high_bias,100
desinfo,19,0.8421052631578947,16,3,very_high_bias,18
