outlet,article_count,bias_rate,avg_bias_prob,avg_score,avg_comments,avg_comment_karma,avg_karma_range,avg_pct_negative_karma,avg_unique_commenters
jotdown.es,61,0.8852459016393442,0.8760152765335973,325.2950819672131,48.59016393442623,3.0874067699929015,29.60655737704918,0.0,31.83606557377049
huffingtonpost.es,46,0.8695652173913043,0.8290384055682175,870.8695652173913,158.19565217391303,3.8551076059025378,90.82608695652173,0.0,88.17391304347827
blogs.publico.es,60,0.85,0.8378921101451852,585.6833333333333,73.1,3.755026298304607,42.56666666666667,0.0,44.233333333333334
infobae.com,31,0.8064516129032258,0.7878424258031431,342.19354838709677,54.806451612903224,2.506342127112662,26.387096774193548,0.0,36.774193548387096
labrujulaverde.com,35,0.8,0.8018678413570992,235.77142857142857,31.857142857142858,2.1187933729521866,16.857142857142858,0.0,22.0
escolar.net,33,0.7878787878787878,0.7653921679875841,760.030303030303,64.81818181818181,4.152527775793201,58.03030303030303,0.0,44.27272727272727
blogs.20minutos.es,33,0.7878787878787878,0.7818688407018216,605.1515151515151,84.81818181818181,2.982130061758255,46.15151515151515,0.0,53.60606060606061
elplural.com,102,0.7843137254901961,0.7835790152677481,1036.078431372549,83.79411764705883,4.049432291252831,57.03921568627451,0.0,54.35294117647059
valenciaplaza.com,45,0.7777777777777778,0.753656403060692,452.97777777777776,71.71111111111111,2.952370124430545,38.82222222222222,0.0,39.15555555555556
dailymail.co.uk,44,0.7727272727272727,0.7402189361693506,524.6363636363636,74.45454545454545,3.5034063547178693,54.0,0.0,52.63636363636363
lasexta.com,79,0.7721518987341772,0.7728998423200336,813.5822784810126,135.18987341772151,4.9863380354576945,84.53164556962025,0.0006614369762881085,72.29113924050633
elmundotoday.com,52,0.7692307692307693,0.7574833317418009,675.8461538461538,52.5,2.4693375131205153,30.28846153846154,0.0,34.13461538461539
politica.elpais.com,37,0.7297297297297297,0.7031519118369229,1022.4054054054054,78.24324324324324,3.732135917304206,64.45945945945945,0.0,55.054054054054056
levante-emv.com,70,0.7285714285714285,0.732562667241187,679.5571428571428,66.71428571428571,3.702050065023975,49.44285714285714,0.0,44.98571428571429
cadenaser.com,213,0.7276995305164319,0.7247115001880384,649.7981220657277,83.73239436619718,3.7705859805465516,51.42723004694836,0.00020412329046744232,50.08920187793427
lasprovincias.es,33,0.7272727272727273,0.6911208200846997,628.5151515151515,83.06060606060606,3.9206345058595535,63.45454545454545,0.0,59.18181818181818
