model,accuracy_mean,accuracy_std,f1_macro_mean,f1_macro_std,roc_auc_mean,roc_auc_std
Logistic Regression,0.6174724908302768,0.0031941127081902094,0.4873962783363418,0.0064498697377303495,0.6069978817639129,0.009296749776276656
Random Forest,0.6230743581193732,0.004162583937132996,0.5567546924467129,0.005140816408002679,0.6162874507427916,0.009816887590466169
Gradient Boosting,0.6404134711570524,0.006247436307371966,0.5668696620687086,0.007040145595032713,0.6418053852982204,0.007606081172415444
